"id","n","NNE","TYPE"
1,"500",3.91010811924776,"IV"
2,"500",9.66205517293546,"IV"
3,"500",4.12959829354082,"IV"
4,"500",4.47799166876797,"IV"
5,"500",5.79417143482329,"IV"
6,"500",5.54002722842372,"IV"
7,"500",4.18010614094398,"IV"
8,"500",5.93716109228734,"IV"
9,"500",7.75356670139273,"IV"
10,"500",7.17471754215386,"IV"
11,"500",5.67002259441295,"IV"
12,"500",5.44550411442335,"IV"
13,"500",4.54641508390659,"IV"
14,"500",4.60610069483104,"IV"
15,"500",7.63591649252511,"IV"
16,"500",9.54351693169142,"IV"
17,"500",9.95541513298381,"IV"
18,"500",7.8173737073994,"IV"
19,"500",12.1025930528884,"IV"
20,"500",4.54209167613642,"IV"
21,"500",4.71783021541939,"IV"
22,"500",14.9817787239671,"IV"
23,"500",8.33774090171402,"IV"
24,"500",6.75855800388749,"IV"
25,"500",4.76044809993327,"IV"
26,"500",7.29247010533241,"IV"
27,"500",4.95109447701901,"IV"
28,"500",6.96727916064467,"IV"
29,"500",4.44322749533378,"IV"
30,"500",6.0378720983912,"IV"
31,"500",4.36168748211139,"IV"
32,"500",6.92435368289224,"IV"
33,"500",3.71758491603829,"IV"
34,"500",3.58103876483089,"IV"
35,"500",4.94963519550123,"IV"
36,"500",5.44555280158264,"IV"
37,"500",4.50454900751045,"IV"
38,"500",4.75881265090826,"IV"
39,"500",8.86409756958219,"IV"
40,"500",8.06724607887806,"IV"
41,"500",8.46409819734848,"IV"
42,"500",4.31028736394603,"IV"
43,"500",7.37890784962438,"IV"
44,"500",4.60278629147869,"IV"
45,"500",5.43278860344339,"IV"
46,"500",10.1895991946779,"IV"
47,"500",9.05795349111013,"IV"
48,"500",4.17664559197258,"IV"
49,"500",4.72048232378585,"IV"
50,"500",5.07005911341149,"IV"
51,"500",8.41601734398154,"IV"
52,"500",7.07090108676101,"IV"
53,"500",4.58530878676286,"IV"
54,"500",5.76412296258532,"IV"
55,"500",4.08350900068654,"IV"
56,"500",13.9955593227305,"IV"
57,"500",5.04746325856854,"IV"
58,"500",4.68565390891503,"IV"
59,"500",7.06321786095894,"IV"
60,"500",4.11919913779488,"IV"
61,"500",5.0765122040868,"IV"
62,"500",3.3654698863936,"IV"
63,"500",3.37659460093505,"IV"
64,"500",7.07255016226861,"IV"
65,"500",4.24631737214659,"IV"
66,"500",7.78597031033186,"IV"
67,"500",3.27771818416196,"IV"
68,"500",7.76713875872539,"IV"
69,"500",4.00650014865876,"IV"
70,"500",4.47097151996791,"IV"
71,"500",6.81549364065129,"IV"
72,"500",5.10587009044806,"IV"
73,"500",3.67442563601252,"IV"
74,"500",7.23367433176157,"IV"
75,"500",5.06958864698544,"IV"
76,"500",6.7608009031917,"IV"
77,"500",3.81561009473804,"IV"
78,"500",3.2124957764924,"IV"
79,"500",7.3869200660369,"IV"
80,"500",6.24419341001744,"IV"
81,"500",10.2977799417596,"IV"
82,"500",4.23469204011812,"IV"
83,"500",6.47216156653636,"IV"
84,"500",7.29951911175736,"IV"
85,"500",4.63938544583866,"IV"
86,"500",4.58190668826747,"IV"
87,"500",11.8525930519052,"IV"
88,"500",6.68707860332206,"IV"
89,"500",6.09868592813857,"IV"
90,"500",5.11122278315467,"IV"
91,"500",5.91540840146621,"IV"
92,"500",7.91387274766672,"IV"
93,"500",5.79667615014628,"IV"
94,"500",4.50426442199487,"IV"
95,"500",5.1028487048292,"IV"
96,"500",3.57172761696382,"IV"
97,"500",4.06705580446947,"IV"
98,"500",11.8337049849612,"IV"
99,"500",5.77968713245894,"IV"
100,"500",8.38287736220109,"IV"
101,"500",5.05871070548521,"IV"
102,"500",4.87143303043464,"IV"
103,"500",10.6528061543562,"IV"
104,"500",5.13435112772545,"IV"
105,"500",5.3217062420937,"IV"
106,"500",4.2156326010813,"IV"
107,"500",6.53028516954852,"IV"
108,"500",6.76823239628601,"IV"
109,"500",10.461057968337,"IV"
110,"500",6.3455557648633,"IV"
111,"500",13.1512733195519,"IV"
112,"500",4.64341524177538,"IV"
113,"500",10.1076490583354,"IV"
114,"500",4.40273250201758,"IV"
115,"500",7.36111648255376,"IV"
116,"500",-23.5908313075356,"IV"
117,"500",4.8729437204925,"IV"
118,"500",4.47560977299746,"IV"
119,"500",6.73171199728001,"IV"
120,"500",8.39632426430717,"IV"
121,"500",4.3687091202162,"IV"
122,"500",7.25777086690049,"IV"
123,"500",8.6902373742117,"IV"
124,"500",5.4097252617487,"IV"
125,"500",4.60869604136634,"IV"
126,"500",4.51692352619796,"IV"
127,"500",3.81675106194726,"IV"
128,"500",4.55783449729014,"IV"
129,"500",3.75582546307563,"IV"
130,"500",4.70393900623074,"IV"
131,"500",3.93185282406433,"IV"
132,"500",11.6056530222617,"IV"
133,"500",8.60688066017905,"IV"
134,"500",4.21653253998538,"IV"
135,"500",4.80843990321367,"IV"
136,"500",5.44858183728826,"IV"
137,"500",6.50344714154696,"IV"
138,"500",3.61006100975445,"IV"
139,"500",6.25206733919728,"IV"
140,"500",4.59900744075537,"IV"
141,"500",5.53980794635249,"IV"
142,"500",18.1882948671515,"IV"
143,"500",4.10604128009147,"IV"
144,"500",7.61886882861,"IV"
145,"500",4.9050478291827,"IV"
146,"500",7.98268392339692,"IV"
147,"500",4.41116000833746,"IV"
148,"500",5.45642718045361,"IV"
149,"500",3.87406578044838,"IV"
150,"500",7.64385903318642,"IV"
151,"500",4.61035810186266,"IV"
152,"500",7.24919545243017,"IV"
153,"500",6.25538784496358,"IV"
154,"500",6.58744832552611,"IV"
155,"500",4.69713332513393,"IV"
156,"500",7.91932321961694,"IV"
157,"500",9.8513566076391,"IV"
158,"500",4.32637647902193,"IV"
159,"500",4.67189300224454,"IV"
160,"500",5.65887620926599,"IV"
161,"500",5.78103233236414,"IV"
162,"500",5.67391899809446,"IV"
163,"500",4.7416943934443,"IV"
164,"500",4.33766465755789,"IV"
165,"500",7.12836394622013,"IV"
166,"500",4.74581894398184,"IV"
167,"500",5.07301834171817,"IV"
168,"500",6.45274875314648,"IV"
169,"500",3.87494549197805,"IV"
170,"500",7.70711003642793,"IV"
171,"500",9.49144743440796,"IV"
172,"500",5.63104926460933,"IV"
173,"500",5.23205732241266,"IV"
174,"500",9.04020143630791,"IV"
175,"500",8.08523804112254,"IV"
176,"500",4.9785095352137,"IV"
177,"500",6.28989056697381,"IV"
178,"500",4.76855324371267,"IV"
