"id","n","EIN","TYPE"
1,"500",7.31345759057209,"IV"
2,"500",4.82724718205098,"IV"
3,"500",4.94630911773755,"IV"
4,"500",9.76455333500732,"IV"
5,"500",NA,"IV"
6,"500",NA,"IV"
7,"500",5.21181293387827,"IV"
8,"500",NA,"IV"
9,"500",NA,"IV"
10,"500",8.138826088955,"IV"
11,"500",3.63283053853298,"IV"
12,"500",5.14053612331635,"IV"
13,"500",3.57118539249314,"IV"
14,"500",NA,"IV"
15,"500",7.00209875658458,"IV"
16,"500",8.45490058041218,"IV"
17,"500",3.9980698287107,"IV"
18,"500",5.18599061024466,"IV"
19,"500",3.84866699450268,"IV"
20,"500",3.26646576750834,"IV"
21,"500",6.45375807053841,"IV"
22,"500",4.96441249389103,"IV"
23,"500",4.91889892410455,"IV"
24,"500",5.72532714371438,"IV"
25,"500",NA,"IV"
26,"500",5.3558254826125,"IV"
27,"500",7.21931586487082,"IV"
28,"500",NA,"IV"
29,"500",NA,"IV"
30,"500",7.60542839738034,"IV"
31,"500",4.80169018013178,"IV"
32,"500",NA,"IV"
33,"500",4.66691715475766,"IV"
34,"500",NA,"IV"
35,"500",4.96932555113709,"IV"
36,"500",3.08814518232682,"IV"
37,"500",4.64896225244349,"IV"
38,"500",NA,"IV"
39,"500",8.73628147629278,"IV"
40,"500",3.68535361413218,"IV"
41,"500",8.20773473760728,"IV"
42,"500",3.06563106200701,"IV"
43,"500",4.46107263767901,"IV"
44,"500",6.99432377039593,"IV"
45,"500",3.80246913580233,"IV"
46,"500",7.71609954820563,"IV"
47,"500",3.41176470588241,"IV"
48,"500",4.82503440978042,"IV"
49,"500",NA,"IV"
50,"500",NA,"IV"
1,"1000",4.73622262639995,"IV"
2,"1000",5.45749344596536,"IV"
3,"1000",8.18269084360411,"IV"
4,"1000",7.53604852789874,"IV"
5,"1000",8.98432666272693,"IV"
6,"1000",NA,"IV"
7,"1000",3.48837209302332,"IV"
8,"1000",6.33467906801169,"IV"
9,"1000",3.5054235393459,"IV"
10,"1000",3.94139185181607,"IV"
11,"1000",7.62854236501987,"IV"
12,"1000",NA,"IV"
13,"1000",3.43498579910906,"IV"
14,"1000",3.49704142011829,"IV"
15,"1000",3.65279756065944,"IV"
16,"1000",5.34932160927762,"IV"
17,"1000",9.53167994934009,"IV"
18,"1000",NA,"IV"
19,"1000",NA,"IV"
20,"1000",9.63829377153649,"IV"
21,"1000",5.38963559531275,"IV"
22,"1000",4.05792010875213,"IV"
23,"1000",4.35007468912727,"IV"
24,"1000",5.6082615435571,"IV"
25,"1000",5.2277154497455,"IV"
26,"1000",3.57584514112192,"IV"
27,"1000",3.38150289017329,"IV"
28,"1000",3.48022598870064,"IV"
29,"1000",4.66740815942888,"IV"
30,"1000",8.36336879265658,"IV"
31,"1000",7.95779165467726,"IV"
32,"1000",NA,"IV"
33,"1000",7.41110902267117,"IV"
34,"1000",5.20058795568861,"IV"
35,"1000",NA,"IV"
36,"1000",8.70316205614061,"IV"
37,"1000",4.90112884004751,"IV"
38,"1000",8.6706823689177,"IV"
39,"1000",5.66695389201471,"IV"
40,"1000",7.58605526279506,"IV"
41,"1000",4.79244608715302,"IV"
42,"1000",8.91922952130742,"IV"
43,"1000",NA,"IV"
44,"1000",9.60308299030654,"IV"
45,"1000",7.18205853175918,"IV"
46,"1000",NA,"IV"
47,"1000",4.1402450282318,"IV"
48,"1000",8.34626077704211,"IV"
49,"1000",7.31529524492545,"IV"
50,"1000",3.46174336845738,"IV"
1,"2000",6.03542976607272,"IV"
2,"2000",NA,"IV"
3,"2000",8.43043681775702,"IV"
4,"2000",6.57585073437995,"IV"
5,"2000",4.80462487130588,"IV"
6,"2000",4.52284893390484,"IV"
7,"2000",NA,"IV"
8,"2000",NA,"IV"
9,"2000",4.57847965545373,"IV"
10,"2000",6.11231728194348,"IV"
11,"2000",6.3486721611942,"IV"
12,"2000",5.1029548584045,"IV"
13,"2000",NA,"IV"
14,"2000",5.0692640031855,"IV"
15,"2000",6.84586132526692,"IV"
16,"2000",6.65349586255637,"IV"
17,"2000",6.3459379701726,"IV"
18,"2000",4.71700791449814,"IV"
19,"2000",5.85682614060197,"IV"
20,"2000",5.98735626308704,"IV"
21,"2000",9.11245121272733,"IV"
22,"2000",9.87229852320151,"IV"
23,"2000",4.44882909934785,"IV"
24,"2000",4.87093427798701,"IV"
25,"2000",NA,"IV"
26,"2000",6.05243291133416,"IV"
27,"2000",5.1548155488236,"IV"
28,"2000",8.85754242150758,"IV"
29,"2000",6.08755313540555,"IV"
30,"2000",NA,"IV"
31,"2000",NA,"IV"
32,"2000",NA,"IV"
33,"2000",4.17168558707265,"IV"
34,"2000",3.40607569007564,"IV"
35,"2000",6.80068653159976,"IV"
36,"2000",NA,"IV"
37,"2000",5.71995016680522,"IV"
38,"2000",5.29314871464578,"IV"
39,"2000",6.10679502972642,"IV"
40,"2000",6.72564591757407,"IV"
41,"2000",3.55287009063454,"IV"
42,"2000",5.71318805924103,"IV"
43,"2000",5.24825416328964,"IV"
44,"2000",4.26010691490224,"IV"
45,"2000",9.49317513738746,"IV"
46,"2000",6.36213687239523,"IV"
47,"2000",4.62899281049823,"IV"
48,"2000",7.75001472747483,"IV"
49,"2000",NA,"IV"
50,"2000",NA,"IV"
1,"4000",4.79973684736374,"IV"
2,"4000",NA,"IV"
3,"4000",7.59980503792375,"IV"
4,"4000",NA,"IV"
5,"4000",NA,"IV"
6,"4000",5.3215051692289,"IV"
7,"4000",NA,"IV"
8,"4000",5.27756395427429,"IV"
9,"4000",NA,"IV"
10,"4000",8.63319600885778,"IV"
11,"4000",5.88544757110142,"IV"
12,"4000",9.04627371783427,"IV"
13,"4000",5.33250836234506,"IV"
14,"4000",5.81432016244622,"IV"
15,"4000",5.15595733192161,"IV"
16,"4000",6.53928006348196,"IV"
17,"4000",6.40062970191324,"IV"
18,"4000",NA,"IV"
19,"4000",7.74213541736875,"IV"
20,"4000",6.13800722655263,"IV"
21,"4000",7.00795356683134,"IV"
22,"4000",6.35499843202115,"IV"
23,"4000",8.07835049136844,"IV"
24,"4000",5.25183174201916,"IV"
25,"4000",6.76126308044773,"IV"
26,"4000",6.98261980400298,"IV"
27,"4000",7.90298030897931,"IV"
28,"4000",6.7623701141032,"IV"
29,"4000",7.56099701809042,"IV"
30,"4000",7.54322068977873,"IV"
31,"4000",5.26627662054006,"IV"
32,"4000",4.33616893418587,"IV"
33,"4000",5.22806309223213,"IV"
34,"4000",6.89516432360783,"IV"
35,"4000",5.39971375466314,"IV"
36,"4000",6.14325182369585,"IV"
37,"4000",5.00683955696636,"IV"
38,"4000",6.39071463145196,"IV"
39,"4000",7.29990485371656,"IV"
40,"4000",5.53921853161083,"IV"
41,"4000",8.54378258233385,"IV"
42,"4000",5.74316026835805,"IV"
