"id","n","NNE","TYPE"
1,"500",NA,"IV"
2,"500",9.73624930832562,"IV"
3,"500",NA,"IV"
4,"500",NA,"IV"
5,"500",NA,"IV"
6,"500",NA,"IV"
7,"500",NA,"IV"
8,"500",NA,"IV"
9,"500",NA,"IV"
10,"500",NA,"IV"
11,"500",6.39905076873336,"IV"
12,"500",NA,"IV"
13,"500",6.4561781837307,"IV"
14,"500",NA,"IV"
15,"500",NA,"IV"
16,"500",NA,"IV"
17,"500",5.89490648030715,"IV"
18,"500",NA,"IV"
19,"500",6.42045524821161,"IV"
20,"500",7.11333327915192,"IV"
21,"500",NA,"IV"
22,"500",NA,"IV"
23,"500",NA,"IV"
24,"500",NA,"IV"
25,"500",NA,"IV"
26,"500",NA,"IV"
27,"500",NA,"IV"
28,"500",NA,"IV"
29,"500",NA,"IV"
30,"500",NA,"IV"
31,"500",NA,"IV"
32,"500",NA,"IV"
33,"500",8.68527235935623,"IV"
34,"500",NA,"IV"
35,"500",8.17392685986139,"IV"
36,"500",9.80136577945252,"IV"
37,"500",NA,"IV"
38,"500",NA,"IV"
39,"500",NA,"IV"
40,"500",8.67068135564607,"IV"
41,"500",NA,"IV"
42,"500",7.95344105005383,"IV"
43,"500",7.87231395318134,"IV"
44,"500",NA,"IV"
45,"500",9.748262524612,"IV"
46,"500",NA,"IV"
47,"500",6.7817047535491,"IV"
48,"500",9.18011765004535,"IV"
49,"500",NA,"IV"
50,"500",NA,"IV"
1,"1000",NA,"IV"
2,"1000",8.19376191493365,"IV"
3,"1000",NA,"IV"
4,"1000",NA,"IV"
5,"1000",NA,"IV"
6,"1000",NA,"IV"
7,"1000",6.6060650644037,"IV"
8,"1000",NA,"IV"
9,"1000",8.7290257858346,"IV"
10,"1000",NA,"IV"
11,"1000",NA,"IV"
12,"1000",NA,"IV"
13,"1000",6.52807942722028,"IV"
14,"1000",6.82550222177796,"IV"
15,"1000",8.54633691709829,"IV"
16,"1000",NA,"IV"
17,"1000",NA,"IV"
18,"1000",NA,"IV"
19,"1000",NA,"IV"
20,"1000",NA,"IV"
21,"1000",NA,"IV"
22,"1000",NA,"IV"
23,"1000",8.54095551910063,"IV"
24,"1000",NA,"IV"
25,"1000",NA,"IV"
26,"1000",6.64012139235736,"IV"
27,"1000",7.95253243412771,"IV"
28,"1000",NA,"IV"
29,"1000",9.06558164108652,"IV"
30,"1000",NA,"IV"
31,"1000",NA,"IV"
32,"1000",NA,"IV"
33,"1000",NA,"IV"
34,"1000",NA,"IV"
35,"1000",NA,"IV"
36,"1000",NA,"IV"
37,"1000",NA,"IV"
38,"1000",NA,"IV"
39,"1000",NA,"IV"
40,"1000",NA,"IV"
41,"1000",8.57068588180929,"IV"
42,"1000",NA,"IV"
43,"1000",NA,"IV"
44,"1000",NA,"IV"
45,"1000",NA,"IV"
46,"1000",NA,"IV"
47,"1000",9.40489573563495,"IV"
48,"1000",NA,"IV"
49,"1000",NA,"IV"
50,"1000",7.95138258222262,"IV"
1,"2000",NA,"IV"
2,"2000",NA,"IV"
3,"2000",NA,"IV"
4,"2000",NA,"IV"
5,"2000",NA,"IV"
6,"2000",8.48065979516611,"IV"
7,"2000",NA,"IV"
8,"2000",NA,"IV"
9,"2000",NA,"IV"
10,"2000",NA,"IV"
11,"2000",NA,"IV"
12,"2000",9.92609588263384,"IV"
13,"2000",NA,"IV"
14,"2000",NA,"IV"
15,"2000",NA,"IV"
16,"2000",NA,"IV"
17,"2000",NA,"IV"
18,"2000",8.83814215550888,"IV"
19,"2000",NA,"IV"
20,"2000",NA,"IV"
21,"2000",NA,"IV"
22,"2000",NA,"IV"
23,"2000",9.39800347664252,"IV"
24,"2000",9.29105337592203,"IV"
25,"2000",NA,"IV"
26,"2000",NA,"IV"
27,"2000",NA,"IV"
28,"2000",NA,"IV"
29,"2000",NA,"IV"
30,"2000",NA,"IV"
31,"2000",NA,"IV"
32,"2000",NA,"IV"
33,"2000",9.25309314721518,"IV"
34,"2000",8.44519553480173,"IV"
35,"2000",NA,"IV"
36,"2000",NA,"IV"
37,"2000",NA,"IV"
38,"2000",NA,"IV"
39,"2000",NA,"IV"
40,"2000",NA,"IV"
41,"2000",9.57115269382934,"IV"
42,"2000",NA,"IV"
43,"2000",9.33351002431932,"IV"
44,"2000",NA,"IV"
45,"2000",NA,"IV"
46,"2000",NA,"IV"
47,"2000",9.50408676128852,"IV"
48,"2000",NA,"IV"
49,"2000",NA,"IV"
50,"2000",NA,"IV"
1,"4000",NA,"IV"
2,"4000",NA,"IV"
3,"4000",NA,"IV"
4,"4000",NA,"IV"
5,"4000",NA,"IV"
6,"4000",NA,"IV"
7,"4000",NA,"IV"
8,"4000",NA,"IV"
9,"4000",NA,"IV"
10,"4000",NA,"IV"
11,"4000",NA,"IV"
12,"4000",NA,"IV"
13,"4000",NA,"IV"
14,"4000",NA,"IV"
15,"4000",8.75565504720823,"IV"
16,"4000",NA,"IV"
17,"4000",NA,"IV"
18,"4000",NA,"IV"
19,"4000",NA,"IV"
20,"4000",NA,"IV"
21,"4000",NA,"IV"
22,"4000",NA,"IV"
23,"4000",NA,"IV"
24,"4000",NA,"IV"
25,"4000",NA,"IV"
26,"4000",NA,"IV"
27,"4000",NA,"IV"
28,"4000",NA,"IV"
29,"4000",NA,"IV"
30,"4000",NA,"IV"
31,"4000",9.91178180070158,"IV"
32,"4000",7.73853146629955,"IV"
33,"4000",NA,"IV"
34,"4000",NA,"IV"
35,"4000",NA,"IV"
36,"4000",NA,"IV"
37,"4000",NA,"IV"
38,"4000",NA,"IV"
39,"4000",NA,"IV"
40,"4000",NA,"IV"
41,"4000",NA,"IV"
42,"4000",NA,"IV"
43,"4000",NA,"IV"
44,"4000",NA,"IV"
45,"4000",NA,"IV"
46,"4000",NA,"IV"
47,"4000",NA,"IV"
48,"4000",NA,"IV"
49,"4000",NA,"IV"
50,"4000",NA,"IV"
1,"500",NA,"Unadjusted"
2,"500",NA,"Unadjusted"
3,"500",NA,"Unadjusted"
4,"500",7.43240918011706,"Unadjusted"
5,"500",5.19699604400995,"Unadjusted"
6,"500",6.61548511022583,"Unadjusted"
7,"500",4.56585309009648,"Unadjusted"
8,"500",NA,"Unadjusted"
9,"500",4.05676910367362,"Unadjusted"
10,"500",6.09832358263188,"Unadjusted"
11,"500",NA,"Unadjusted"
12,"500",8.84283047989838,"Unadjusted"
13,"500",4.31615818084351,"Unadjusted"
14,"500",NA,"Unadjusted"
15,"500",7.81191084630214,"Unadjusted"
16,"500",NA,"Unadjusted"
17,"500",NA,"Unadjusted"
18,"500",4.38107811312452,"Unadjusted"
19,"500",8.36768245769317,"Unadjusted"
20,"500",6.06638003081175,"Unadjusted"
21,"500",6.29838156573201,"Unadjusted"
22,"500",NA,"Unadjusted"
23,"500",5.57403778527013,"Unadjusted"
24,"500",4.24489359703082,"Unadjusted"
25,"500",NA,"Unadjusted"
26,"500",8.95357014125571,"Unadjusted"
27,"500",NA,"Unadjusted"
28,"500",NA,"Unadjusted"
29,"500",5.24813452089684,"Unadjusted"
30,"500",5.32371198536227,"Unadjusted"
31,"500",8.22483981040796,"Unadjusted"
32,"500",6.01080228996844,"Unadjusted"
33,"500",7.06956187677659,"Unadjusted"
34,"500",5.92811863067425,"Unadjusted"
35,"500",NA,"Unadjusted"
36,"500",3.92097608503546,"Unadjusted"
37,"500",4.76715171150588,"Unadjusted"
38,"500",5.19454938780951,"Unadjusted"
39,"500",6.3377938792995,"Unadjusted"
40,"500",4.05185946531508,"Unadjusted"
41,"500",NA,"Unadjusted"
42,"500",4.13834274915035,"Unadjusted"
43,"500",6.76707129053808,"Unadjusted"
44,"500",4.75122174691266,"Unadjusted"
45,"500",NA,"Unadjusted"
46,"500",4.86253254582338,"Unadjusted"
47,"500",9.57507413935811,"Unadjusted"
48,"500",NA,"Unadjusted"
49,"500",NA,"Unadjusted"
50,"500",6.81505831590542,"Unadjusted"
1,"1000",8.69787019304928,"Unadjusted"
2,"1000",9.44116373233244,"Unadjusted"
3,"1000",NA,"Unadjusted"
4,"1000",5.2002501390302,"Unadjusted"
5,"1000",4.21375171393235,"Unadjusted"
6,"1000",6.78413434101106,"Unadjusted"
7,"1000",NA,"Unadjusted"
8,"1000",8.97032122819833,"Unadjusted"
9,"1000",6.15451013519664,"Unadjusted"
10,"1000",5.30799664804339,"Unadjusted"
11,"1000",8.15799159218767,"Unadjusted"
12,"1000",6.44481441215385,"Unadjusted"
13,"1000",6.58438214066639,"Unadjusted"
14,"1000",6.84630078304709,"Unadjusted"
15,"1000",9.11033593053503,"Unadjusted"
16,"1000",5.37717309365757,"Unadjusted"
17,"1000",5.44489478444813,"Unadjusted"
18,"1000",NA,"Unadjusted"
19,"1000",NA,"Unadjusted"
20,"1000",3.17524273891457,"Unadjusted"
21,"1000",6.95717438810566,"Unadjusted"
22,"1000",5.4144486152563,"Unadjusted"
23,"1000",7.51268385737525,"Unadjusted"
24,"1000",NA,"Unadjusted"
25,"1000",4.43085700990158,"Unadjusted"
26,"1000",5.89726175611587,"Unadjusted"
27,"1000",6.44406998493255,"Unadjusted"
28,"1000",6.38525262489307,"Unadjusted"
29,"1000",NA,"Unadjusted"
30,"1000",7.57960557185749,"Unadjusted"
31,"1000",9.25077250773564,"Unadjusted"
32,"1000",9.94758288028167,"Unadjusted"
33,"1000",9.87844217529587,"Unadjusted"
34,"1000",4.97243608464673,"Unadjusted"
35,"1000",5.25130409062954,"Unadjusted"
36,"1000",NA,"Unadjusted"
37,"1000",NA,"Unadjusted"
38,"1000",7.76146538386405,"Unadjusted"
39,"1000",NA,"Unadjusted"
40,"1000",NA,"Unadjusted"
41,"1000",5.63458018271943,"Unadjusted"
42,"1000",6.75247602254292,"Unadjusted"
43,"1000",3.82628040114004,"Unadjusted"
44,"1000",4.42195807764749,"Unadjusted"
45,"1000",NA,"Unadjusted"
46,"1000",5.12814203096212,"Unadjusted"
47,"1000",7.49561816315725,"Unadjusted"
48,"1000",4.21381327048642,"Unadjusted"
49,"1000",4.99504027134518,"Unadjusted"
50,"1000",5.46448336295569,"Unadjusted"
1,"2000",7.56621202816601,"Unadjusted"
2,"2000",6.52895534286134,"Unadjusted"
3,"2000",6.53793452962397,"Unadjusted"
4,"2000",8.46724544974479,"Unadjusted"
5,"2000",4.57330148857923,"Unadjusted"
6,"2000",7.97431361614188,"Unadjusted"
7,"2000",4.49747544431078,"Unadjusted"
8,"2000",8.79982305574233,"Unadjusted"
9,"2000",4.04136309837369,"Unadjusted"
10,"2000",8.83827921715676,"Unadjusted"
11,"2000",6.98066496111469,"Unadjusted"
12,"2000",NA,"Unadjusted"
13,"2000",5.99976513247181,"Unadjusted"
14,"2000",4.91383234195276,"Unadjusted"
15,"2000",5.24787437975674,"Unadjusted"
16,"2000",5.1634813351211,"Unadjusted"
17,"2000",5.29096991106592,"Unadjusted"
18,"2000",6.13043216196038,"Unadjusted"
19,"2000",5.11205546876332,"Unadjusted"
20,"2000",7.85493664696504,"Unadjusted"
21,"2000",7.7871645552318,"Unadjusted"
22,"2000",8.55220827533337,"Unadjusted"
23,"2000",6.24003373510946,"Unadjusted"
24,"2000",NA,"Unadjusted"
25,"2000",6.07833243201238,"Unadjusted"
26,"2000",6.1291086542578,"Unadjusted"
27,"2000",6.30924882227405,"Unadjusted"
28,"2000",5.30741340841948,"Unadjusted"
29,"2000",5.08575747473954,"Unadjusted"
30,"2000",6.15862661322544,"Unadjusted"
31,"2000",7.94200648957179,"Unadjusted"
32,"2000",5.55831355151619,"Unadjusted"
33,"2000",7.44732845141418,"Unadjusted"
34,"2000",5.91806346745837,"Unadjusted"
35,"2000",5.56044467115865,"Unadjusted"
36,"2000",5.68085643782167,"Unadjusted"
37,"2000",6.16212336007352,"Unadjusted"
