"id","n","NNT","TYPE"
1,"500",9.41931042820039,"IV"
2,"500",6.0851850119925,"IV"
3,"500",6.34505835180639,"IV"
4,"500",11.4064607786618,"IV"
5,"500",NA,"IV"
6,"500",NA,"IV"
7,"500",7.16946812883005,"IV"
8,"500",NA,"IV"
9,"500",NA,"IV"
10,"500",9.86338839802624,"IV"
11,"500",4.42470393998358,"IV"
12,"500",6.99573024803082,"IV"
13,"500",4.31090864035149,"IV"
14,"500",NA,"IV"
15,"500",8.79729518425539,"IV"
16,"500",9.45200039579242,"IV"
17,"500",4.66798051627801,"IV"
18,"500",6.75916057659591,"IV"
19,"500",4.63157457333851,"IV"
20,"500",4.13387271926031,"IV"
21,"500",7.73815225284547,"IV"
22,"500",6.50403466490218,"IV"
23,"500",6.82690843341862,"IV"
24,"500",7.6453312140835,"IV"
25,"500",-11.1523272836143,"IV"
26,"500",6.80916516263639,"IV"
27,"500",8.30863837772887,"IV"
28,"500",NA,"IV"
29,"500",NA,"IV"
30,"500",9.08959349881527,"IV"
31,"500",6.33239855676692,"IV"
32,"500",NA,"IV"
33,"500",5.7594352494847,"IV"
34,"500",14.7456931533665,"IV"
35,"500",5.94329900505198,"IV"
36,"500",4.35200769526568,"IV"
37,"500",6.58075999961738,"IV"
38,"500",NA,"IV"
39,"500",11.1756221415642,"IV"
40,"500",4.94866930950445,"IV"
41,"500",9.9276366108533,"IV"
42,"500",4.12536850242174,"IV"
43,"500",5.37950856080509,"IV"
44,"500",8.76431662575606,"IV"
45,"500",4.96544953130663,"IV"
46,"500",10.5223007049118,"IV"
47,"500",4.31162101668574,"IV"
48,"500",5.99721675132919,"IV"
49,"500",13.3708940602359,"IV"
50,"500",NA,"IV"
1,"1000",6.43223994251431,"IV"
2,"1000",6.32081308673003,"IV"
3,"1000",9.45703359315195,"IV"
4,"1000",9.07980493520955,"IV"
5,"1000",10.541216772553,"IV"
6,"1000",NA,"IV"
7,"1000",4.30014277867729,"IV"
8,"1000",8.07272902373082,"IV"
9,"1000",4.59050349697378,"IV"
10,"1000",5.26236082875914,"IV"
11,"1000",9.04238832862438,"IV"
12,"1000",12.6124262225702,"IV"
13,"1000",4.28584602765813,"IV"
14,"1000",4.36829381297767,"IV"
15,"1000",4.77698515785571,"IV"
16,"1000",6.68306452612489,"IV"
17,"1000",12.4671900261968,"IV"
18,"1000",NA,"IV"
19,"1000",12.3316534709095,"IV"
20,"1000",11.8561776043607,"IV"
21,"1000",6.94701924693445,"IV"
22,"1000",5.51862323850756,"IV"
23,"1000",5.43893724218349,"IV"
24,"1000",7.22049613169935,"IV"
25,"1000",6.6216070364873,"IV"
26,"1000",4.44317843612422,"IV"
27,"1000",4.44080032965175,"IV"
28,"1000",4.85288390573428,"IV"
29,"1000",5.80874559322079,"IV"
30,"1000",9.97273285029663,"IV"
31,"1000",9.85518596622469,"IV"
32,"1000",NA,"IV"
33,"1000",9.48489412040088,"IV"
34,"1000",6.50496349181263,"IV"
35,"1000",NA,"IV"
36,"1000",10.6475243703774,"IV"
37,"1000",6.43502313405597,"IV"
38,"1000",10.7827496262357,"IV"
39,"1000",7.12098080618754,"IV"
40,"1000",8.85657517673392,"IV"
41,"1000",5.81842768684938,"IV"
42,"1000",11.0535521490824,"IV"
43,"1000",NA,"IV"
44,"1000",11.4055933817508,"IV"
45,"1000",8.73020619560515,"IV"
46,"1000",NA,"IV"
47,"1000",5.42873123958385,"IV"
48,"1000",10.1985750633655,"IV"
49,"1000",8.55202251427987,"IV"
50,"1000",4.4586880670711,"IV"
1,"2000",7.79013518581999,"IV"
2,"2000",NA,"IV"
3,"2000",10.8514949814794,"IV"
4,"2000",8.08544881978204,"IV"
5,"2000",6.10991565177974,"IV"
6,"2000",5.61571364763675,"IV"
7,"2000",NA,"IV"
8,"2000",13.9041680854417,"IV"
9,"2000",5.92135596202105,"IV"
10,"2000",7.55796058734172,"IV"
11,"2000",7.75094722060911,"IV"
12,"2000",6.31881049054989,"IV"
13,"2000",NA,"IV"
14,"2000",6.71895866935939,"IV"
15,"2000",8.72566847284076,"IV"
16,"2000",8.09195995376702,"IV"
17,"2000",7.70312636020044,"IV"
18,"2000",5.82356026792223,"IV"
19,"2000",7.16286904300225,"IV"
20,"2000",7.62162552216954,"IV"
21,"2000",11.2208409783022,"IV"
22,"2000",11.9323190779639,"IV"
23,"2000",5.7511588946102,"IV"
24,"2000",6.06199752152708,"IV"
25,"2000",NA,"IV"
26,"2000",7.67060125152212,"IV"
27,"2000",6.62956826951584,"IV"
28,"2000",11.0426649371263,"IV"
29,"2000",7.25275397896107,"IV"
30,"2000",12.4459893598719,"IV"
31,"2000",12.079633952707,"IV"
32,"2000",13.4629367250222,"IV"
33,"2000",5.3858031186018,"IV"
34,"2000",4.49147317627284,"IV"
35,"2000",8.53186947113803,"IV"
36,"2000",NA,"IV"
37,"2000",7.49205194250417,"IV"
38,"2000",6.87585074431008,"IV"
39,"2000",7.79512652704604,"IV"
40,"2000",8.13108467151383,"IV"
41,"2000",4.79510476954192,"IV"
42,"2000",7.10973848408446,"IV"
43,"2000",6.39436169953944,"IV"
44,"2000",5.5272830815013,"IV"
45,"2000",11.8119990678279,"IV"
46,"2000",7.87334446037843,"IV"
47,"2000",5.83712736534775,"IV"
48,"2000",9.65530386940696,"IV"
49,"2000",14.930295837209,"IV"
50,"2000",NA,"IV"
1,"4000",6.09130690385999,"IV"
2,"4000",14.1080862177558,"IV"
3,"4000",9.30281121614218,"IV"
4,"4000",NA,"IV"
5,"4000",13.7456087712713,"IV"
6,"4000",6.80080179002587,"IV"
7,"4000",12.5304013280531,"IV"
8,"4000",6.69771800045798,"IV"
9,"4000",12.6279945669827,"IV"
10,"4000",10.5592828955049,"IV"
11,"4000",7.34422084352946,"IV"
12,"4000",11.4640007728247,"IV"
13,"4000",6.74856064864019,"IV"
14,"4000",7.1804447143914,"IV"
15,"4000",6.16695141092804,"IV"
16,"4000",8.22324886227058,"IV"
17,"4000",8.00436187072514,"IV"
18,"4000",NA,"IV"
19,"4000",9.56654122607783,"IV"
20,"4000",7.52306225407095,"IV"
21,"4000",8.62739849902528,"IV"
22,"4000",7.91824736488747,"IV"
23,"4000",10.015939497937,"IV"
24,"4000",6.55468634741307,"IV"
25,"4000",8.36130968203166,"IV"
26,"4000",8.41058327910279,"IV"
27,"4000",9.74812231532024,"IV"
28,"4000",8.43752179222555,"IV"
29,"4000",9.25330733630588,"IV"
30,"4000",9.22569650169221,"IV"
31,"4000",6.47576130716581,"IV"
32,"4000",5.28120787901342,"IV"
33,"4000",6.73200978721906,"IV"
34,"4000",8.71127484315115,"IV"
35,"4000",6.85621349639729,"IV"
36,"4000",7.74372032494408,"IV"
37,"4000",6.36432885676251,"IV"
38,"4000",8.05355577070866,"IV"
39,"4000",9.05402439024663,"IV"
40,"4000",6.86448834217525,"IV"
41,"4000",10.5265151660789,"IV"
42,"4000",7.34297209035391,"IV"
43,"4000",7.91307203862937,"IV"
44,"4000",9.9062995004418,"IV"
45,"4000",9.31339238347768,"IV"
46,"4000",8.99455803177891,"IV"
47,"4000",7.26479911782864,"IV"
48,"4000",10.9744223674277,"IV"
49,"4000",10.1988515732311,"IV"
50,"4000",10.583783658036,"IV"
1,"500",-18.1276595744681,"Unadjusted"
2,"500",NA,"Unadjusted"
3,"500",NA,"Unadjusted"
4,"500",NA,"Unadjusted"
5,"500",NA,"Unadjusted"
6,"500",NA,"Unadjusted"
7,"500",NA,"Unadjusted"
8,"500",-15.3153745072273,"Unadjusted"
9,"500",NA,"Unadjusted"
10,"500",NA,"Unadjusted"
11,"500",NA,"Unadjusted"
12,"500",NA,"Unadjusted"
13,"500",11.2425855513308,"Unadjusted"
14,"500",-17.5535101404056,"Unadjusted"
15,"500",NA,"Unadjusted"
16,"500",NA,"Unadjusted"
17,"500",-20.5697635697636,"Unadjusted"
18,"500",NA,"Unadjusted"
19,"500",NA,"Unadjusted"
20,"500",NA,"Unadjusted"
21,"500",NA,"Unadjusted"
22,"500",-23.0456621004566,"Unadjusted"
23,"500",NA,"Unadjusted"
24,"500",NA,"Unadjusted"
25,"500",-12.1008403361344,"Unadjusted"
26,"500",NA,"Unadjusted"
27,"500",NA,"Unadjusted"
28,"500",-16.9852002321532,"Unadjusted"
29,"500",NA,"Unadjusted"
30,"500",NA,"Unadjusted"
31,"500",NA,"Unadjusted"
32,"500",NA,"Unadjusted"
33,"500",NA,"Unadjusted"
34,"500",NA,"Unadjusted"
35,"500",NA,"Unadjusted"
36,"500",NA,"Unadjusted"
37,"500",NA,"Unadjusted"
38,"500",NA,"Unadjusted"
39,"500",NA,"Unadjusted"
40,"500",NA,"Unadjusted"
41,"500",-13.1271093578786,"Unadjusted"
42,"500",NA,"Unadjusted"
43,"500",NA,"Unadjusted"
44,"500",NA,"Unadjusted"
45,"500",-22.5709923664122,"Unadjusted"
46,"500",NA,"Unadjusted"
47,"500",NA,"Unadjusted"
48,"500",NA,"Unadjusted"
49,"500",-19.65625,"Unadjusted"
50,"500",-20.2342372881356,"Unadjusted"
1,"1000",-22.6965620328849,"Unadjusted"
2,"1000",NA,"Unadjusted"
3,"1000",NA,"Unadjusted"
4,"1000",NA,"Unadjusted"
5,"1000",NA,"Unadjusted"
6,"1000",NA,"Unadjusted"
7,"1000",NA,"Unadjusted"
8,"1000",NA,"Unadjusted"
9,"1000",NA,"Unadjusted"
10,"1000",NA,"Unadjusted"
11,"1000",NA,"Unadjusted"
12,"1000",NA,"Unadjusted"
13,"1000",NA,"Unadjusted"
14,"1000",NA,"Unadjusted"
15,"1000",NA,"Unadjusted"
16,"1000",NA,"Unadjusted"
17,"1000",NA,"Unadjusted"
18,"1000",-22.2278529980658,"Unadjusted"
19,"1000",NA,"Unadjusted"
20,"1000",NA,"Unadjusted"
21,"1000",NA,"Unadjusted"
22,"1000",NA,"Unadjusted"
23,"1000",NA,"Unadjusted"
24,"1000",NA,"Unadjusted"
25,"1000",NA,"Unadjusted"
26,"1000",NA,"Unadjusted"
27,"1000",NA,"Unadjusted"
28,"1000",NA,"Unadjusted"
29,"1000",NA,"Unadjusted"
30,"1000",NA,"Unadjusted"
31,"1000",NA,"Unadjusted"
32,"1000",NA,"Unadjusted"
33,"1000",-19.3418701132918,"Unadjusted"
34,"1000",NA,"Unadjusted"
35,"1000",NA,"Unadjusted"
36,"1000",-18.8120590121873,"Unadjusted"
37,"1000",NA,"Unadjusted"
38,"1000",NA,"Unadjusted"
39,"1000",-20.1712294255962,"Unadjusted"
40,"1000",NA,"Unadjusted"
41,"1000",NA,"Unadjusted"
42,"1000",NA,"Unadjusted"
43,"1000",NA,"Unadjusted"
44,"1000",NA,"Unadjusted"
45,"1000",NA,"Unadjusted"
46,"1000",NA,"Unadjusted"
47,"1000",NA,"Unadjusted"
48,"1000",NA,"Unadjusted"
49,"1000",NA,"Unadjusted"
50,"1000",NA,"Unadjusted"
1,"2000",NA,"Unadjusted"
2,"2000",NA,"Unadjusted"
3,"2000",NA,"Unadjusted"
4,"2000",NA,"Unadjusted"
5,"2000",NA,"Unadjusted"
6,"2000",NA,"Unadjusted"
7,"2000",NA,"Unadjusted"
8,"2000",NA,"Unadjusted"
9,"2000",NA,"Unadjusted"
10,"2000",NA,"Unadjusted"
11,"2000",NA,"Unadjusted"
12,"2000",NA,"Unadjusted"
13,"2000",NA,"Unadjusted"
14,"2000",NA,"Unadjusted"
15,"2000",NA,"Unadjusted"
16,"2000",NA,"Unadjusted"
17,"2000",NA,"Unadjusted"
18,"2000",NA,"Unadjusted"
19,"2000",NA,"Unadjusted"
20,"2000",NA,"Unadjusted"
21,"2000",NA,"Unadjusted"
22,"2000",NA,"Unadjusted"
23,"2000",NA,"Unadjusted"
24,"2000",NA,"Unadjusted"
