"id","n","NNE","TYPE"
1,"500",2.64219510077372,"IV"
2,"500",5.52751375324097,"IV"
3,"500",2.9610285017197,"IV"
4,"500",2.69863471138962,"IV"
5,"500",2.90279615236255,"IV"
6,"500",3.32406574766668,"IV"
7,"500",2.96620890546136,"IV"
8,"500",3.13337894265722,"IV"
9,"500",3.93707859101131,"IV"
10,"500",3.85723848906069,"IV"
11,"500",2.97470545490888,"IV"
12,"500",2.98609520576521,"IV"
13,"500",3.25248643605246,"IV"
14,"500",3.10347594692586,"IV"
15,"500",4.13877877061519,"IV"
16,"500",3.80776687608547,"IV"
17,"500",3.46248907698524,"IV"
18,"500",4.17898401803197,"IV"
19,"500",6.34305337001715,"IV"
20,"500",2.97567920496185,"IV"
21,"500",2.90493202930663,"IV"
22,"500",4.7517166849458,"IV"
23,"500",5.15909434646449,"IV"
24,"500",3.36518603197785,"IV"
25,"500",3.09798781091727,"IV"
26,"500",3.84640832492544,"IV"
27,"500",3.3434834508632,"IV"
28,"500",3.67681266663647,"IV"
29,"500",3.03244546515697,"IV"
30,"500",3.67839278591268,"IV"
31,"500",2.97669366722601,"IV"
32,"500",3.46350982324294,"IV"
33,"500",2.84546360415315,"IV"
34,"500",2.47901355441969,"IV"
35,"500",3.13511591326008,"IV"
36,"500",3.04230904792636,"IV"
37,"500",3.34702588470076,"IV"
38,"500",3.08825062748552,"IV"
39,"500",3.8477930193603,"IV"
40,"500",4.27522544346707,"IV"
41,"500",3.9423054156721,"IV"
42,"500",3.3851282771755,"IV"
43,"500",3.79265014863231,"IV"
44,"500",3.43861095795083,"IV"
45,"500",3.45507446136763,"IV"
46,"500",4.48283931117489,"IV"
47,"500",4.46865057819388,"IV"
48,"500",2.63136052561179,"IV"
49,"500",3.05747283638937,"IV"
50,"500",3.16197933917521,"IV"
51,"500",4.47092310258441,"IV"
52,"500",3.14738363682426,"IV"
53,"500",3.13388141005519,"IV"
54,"500",3.44223308213071,"IV"
55,"500",2.71547105595855,"IV"
56,"500",3.91177014517981,"IV"
57,"500",3.27051792388963,"IV"
58,"500",2.90112018657937,"IV"
59,"500",3.94161388744981,"IV"
60,"500",2.91466298971577,"IV"
61,"500",3.46535676088088,"IV"
62,"500",2.55445054878183,"IV"
63,"500",2.79020393790856,"IV"
64,"500",3.91052474086776,"IV"
65,"500",2.86110718772348,"IV"
66,"500",3.64414344141573,"IV"
67,"500",2.50299860190466,"IV"
68,"500",4.54847384941244,"IV"
69,"500",2.83205632893913,"IV"
70,"500",2.69924272488548,"IV"
71,"500",3.21264784332671,"IV"
72,"500",3.27393223998368,"IV"
73,"500",2.48872159171173,"IV"
74,"500",4.48069201970055,"IV"
75,"500",3.2141244348491,"IV"
76,"500",3.95077728233958,"IV"
77,"500",2.75714327915837,"IV"
78,"500",2.24519958383565,"IV"
79,"500",3.82616569381774,"IV"
80,"500",3.83379296528104,"IV"
81,"500",3.97476746959616,"IV"
82,"500",3.2144477945824,"IV"
83,"500",4.38295231382337,"IV"
84,"500",3.7930146188669,"IV"
85,"500",3.16572037078002,"IV"
86,"500",2.886063409441,"IV"
87,"500",3.43486664898185,"IV"
88,"500",5.09952259374723,"IV"
89,"500",3.98848087638253,"IV"
90,"500",2.956837808344,"IV"
91,"500",3.47272983904891,"IV"
92,"500",3.38127647301438,"IV"
93,"500",3.84561992701421,"IV"
94,"500",2.92941873807226,"IV"
95,"500",3.78121340430432,"IV"
96,"500",2.84766391282988,"IV"
97,"500",2.73586393470287,"IV"
98,"500",4.69490458123424,"IV"
99,"500",3.44929846904157,"IV"
100,"500",5.90406289159875,"IV"
101,"500",2.98135185796763,"IV"
102,"500",3.16637175510372,"IV"
103,"500",3.84456149399495,"IV"
104,"500",3.35593654395758,"IV"
105,"500",3.40896978333326,"IV"
106,"500",2.69773094015139,"IV"
107,"500",4.29624359694775,"IV"
108,"500",3.7796482502389,"IV"
109,"500",5.20878613648128,"IV"
110,"500",3.90542465754277,"IV"
111,"500",4.57942225299381,"IV"
112,"500",3.22276161525955,"IV"
113,"500",3.62757920565893,"IV"
114,"500",2.96258566600283,"IV"
115,"500",4.35379481250331,"IV"
116,"500",10.6379344687804,"IV"
117,"500",3.08552050308293,"IV"
118,"500",2.67458028937986,"IV"
119,"500",3.82480899030977,"IV"
120,"500",4.37418393573667,"IV"
121,"500",3.19151152985784,"IV"
122,"500",4.98358741655738,"IV"
123,"500",3.56567941846392,"IV"
124,"500",3.0541714716239,"IV"
125,"500",3.11805852749562,"IV"
126,"500",3.27479120857538,"IV"
127,"500",2.75896289078968,"IV"
128,"500",3.3191867630968,"IV"
129,"500",2.78445014337586,"IV"
130,"500",3.47698458461321,"IV"
131,"500",2.65516821450082,"IV"
132,"500",5.0490274774131,"IV"
133,"500",4.4881410760801,"IV"
134,"500",2.93291931070109,"IV"
135,"500",2.77447448305237,"IV"
136,"500",3.40726074346326,"IV"
137,"500",4.1131889970808,"IV"
138,"500",2.60222285851185,"IV"
139,"500",3.79576870528882,"IV"
140,"500",2.84085929015838,"IV"
141,"500",3.54251977319257,"IV"
142,"500",4.99179025912788,"IV"
143,"500",2.89495966188618,"IV"
144,"500",4.28656970830044,"IV"
145,"500",2.79783790958123,"IV"
146,"500",3.66220522549917,"IV"
147,"500",3.29562174484154,"IV"
148,"500",3.40726496062247,"IV"
149,"500",3.00935498225092,"IV"
150,"500",4.07029532670577,"IV"
151,"500",3.05745384412319,"IV"
152,"500",3.80429651364701,"IV"
153,"500",4.53872438804312,"IV"
154,"500",3.94434799304732,"IV"
155,"500",3.13437613001498,"IV"
156,"500",3.4885128615679,"IV"
157,"500",4.5961200395023,"IV"
158,"500",3.96930685886035,"IV"
159,"500",3.17255997985438,"IV"
160,"500",3.70023652114709,"IV"
161,"500",4.79585209519024,"IV"
162,"500",3.39783819254514,"IV"
163,"500",2.88988157296094,"IV"
164,"500",3.45366689414134,"IV"
165,"500",3.89002495612667,"IV"
166,"500",2.87613851282069,"IV"
167,"500",2.97813951991574,"IV"
168,"500",3.31630699173676,"IV"
169,"500",2.91018066094966,"IV"
170,"500",4.13219852660822,"IV"
171,"500",3.92663938012423,"IV"
172,"500",3.38618606868316,"IV"
173,"500",3.49314600385482,"IV"
174,"500",4.50134797915718,"IV"
175,"500",3.32401042035911,"IV"
176,"500",3.1478974793208,"IV"
177,"500",3.52400877823301,"IV"
178,"500",3.34527585150186,"IV"
179,"500",2.7563325649138,"IV"
180,"500",4.46033050035921,"IV"
181,"500",3.66931860575419,"IV"
182,"500",2.68099164436729,"IV"
183,"500",4.51287103955003,"IV"
184,"500",2.95065217575077,"IV"
185,"500",3.22960276504466,"IV"
186,"500",3.17816318753588,"IV"
187,"500",3.79679301247061,"IV"
188,"500",3.45761274655496,"IV"
189,"500",4.62077884319949,"IV"
190,"500",4.87242699445271,"IV"
191,"500",4.19431447710747,"IV"
192,"500",4.54693583057646,"IV"
193,"500",3.19918825535714,"IV"
194,"500",2.97686096449055,"IV"
195,"500",3.1479465785184,"IV"
196,"500",2.96734098413401,"IV"
197,"500",3.88306336973536,"IV"
198,"500",3.45523256975378,"IV"
199,"500",2.9976892606668,"IV"
200,"500",3.35452488646584,"IV"
201,"500",4.31282253760192,"IV"
202,"500",3.92726689751834,"IV"
203,"500",4.14273961379979,"IV"
204,"500",3.65242379230499,"IV"
205,"500",4.35943992273081,"IV"
206,"500",3.13130306530802,"IV"
207,"500",3.09965692413135,"IV"
208,"500",3.76398975222598,"IV"
209,"500",3.8768141874283,"IV"
210,"500",3.65892409107235,"IV"
211,"500",3.21368872565751,"IV"
212,"500",2.83156569290974,"IV"
213,"500",3.65501470080035,"IV"
214,"500",3.65762500573612,"IV"
215,"500",4.80127074758961,"IV"
216,"500",3.40367413544522,"IV"
217,"500",3.53360931174992,"IV"
218,"500",3.23083851834426,"IV"
219,"500",3.32867204255105,"IV"
220,"500",2.85296045651214,"IV"
221,"500",3.15161932488979,"IV"
222,"500",3.83705777780631,"IV"
223,"500",2.88055599775554,"IV"
224,"500",2.68586161892083,"IV"
225,"500",3.49371779760553,"IV"
226,"500",2.65452933152885,"IV"
227,"500",7.53623457169723,"IV"
228,"500",3.24606923211398,"IV"
229,"500",2.32272233252966,"IV"
