"id","n","NNT","TYPE"
1,"500",4.01822543427624,"IV"
2,"500",4.52159502521336,"IV"
3,"500",5.41940903827008,"IV"
4,"500",11.9764120953859,"IV"
5,"500",3.59984823343991,"IV"
6,"500",7.66722072099552,"IV"
7,"500",4.71416356521676,"IV"
8,"500",4.30120224259551,"IV"
9,"500",4.78652664116902,"IV"
10,"500",5.69963686116809,"IV"
11,"500",NA,"IV"
12,"500",8.13379822364782,"IV"
13,"500",3.90113304147234,"IV"
14,"500",NA,"IV"
15,"500",3.46102383167832,"IV"
16,"500",4.8740576465253,"IV"
17,"500",NA,"IV"
18,"500",7.14083264388272,"IV"
19,"500",6.17259701351439,"IV"
20,"500",4.59303307473152,"IV"
21,"500",6.76219133965013,"IV"
22,"500",NA,"IV"
23,"500",4.00167321423826,"IV"
24,"500",5.62731880034928,"IV"
25,"500",6.96168810327077,"IV"
26,"500",6.3593937753935,"IV"
27,"500",4.93386161473132,"IV"
28,"500",13.2992431973198,"IV"
29,"500",8.59133458406509,"IV"
30,"500",5.39504976346308,"IV"
1,"1000",4.40186481580434,"IV"
2,"1000",9.57094484049339,"IV"
3,"1000",7.137507233809,"IV"
4,"1000",3.55974764926485,"IV"
5,"1000",3.84241099204385,"IV"
6,"1000",6.7293129251338,"IV"
7,"1000",4.17921617984472,"IV"
8,"1000",5.87794254379028,"IV"
9,"1000",8.89466555058269,"IV"
10,"1000",5.06871766487999,"IV"
11,"1000",4.12711862172504,"IV"
12,"1000",3.2969355024072,"IV"
13,"1000",NA,"IV"
14,"1000",7.50986017058924,"IV"
15,"1000",3.96316474057239,"IV"
16,"1000",6.50733428348749,"IV"
17,"1000",7.81403953589346,"IV"
18,"1000",3.82234363913089,"IV"
19,"1000",4.51138988159791,"IV"
20,"1000",9.22756723407232,"IV"
21,"1000",7.08726198887492,"IV"
22,"1000",4.05502224484731,"IV"
23,"1000",3.91731921063958,"IV"
24,"1000",4.34432209789023,"IV"
25,"1000",6.87861790004732,"IV"
26,"1000",5.60993100066324,"IV"
27,"1000",4.45617636617139,"IV"
28,"1000",5.68800734498522,"IV"
29,"1000",5.19512996394512,"IV"
30,"1000",5.64867864205899,"IV"
1,"2000",4.66611322316127,"IV"
2,"2000",5.20172707404001,"IV"
3,"2000",5.26857927288401,"IV"
4,"2000",6.26896227882817,"IV"
5,"2000",4.6034236745124,"IV"
6,"2000",5.30483550447563,"IV"
7,"2000",4.26056626010004,"IV"
8,"2000",4.65104011122519,"IV"
9,"2000",6.27440186603449,"IV"
10,"2000",6.40992995228085,"IV"
11,"2000",4.87085325611537,"IV"
12,"2000",6.72809741459711,"IV"
13,"2000",4.59562842039984,"IV"
14,"2000",3.93435595433765,"IV"
15,"2000",4.61300323956199,"IV"
16,"2000",8.00951913597812,"IV"
17,"2000",11.2951821183602,"IV"
18,"2000",3.92447225531449,"IV"
19,"2000",4.29589293533526,"IV"
20,"2000",5.64412846044636,"IV"
21,"2000",6.02999710272831,"IV"
22,"2000",8.70361819269711,"IV"
23,"2000",7.06528184714012,"IV"
24,"2000",4.63311618947144,"IV"
25,"2000",5.67921706339975,"IV"
26,"2000",4.80285923569505,"IV"
27,"2000",7.99474946249457,"IV"
28,"2000",4.6016875540584,"IV"
29,"2000",7.32773482243618,"IV"
30,"2000",10.2723381615922,"IV"
1,"4000",5.66096113954489,"IV"
2,"4000",4.31592243430976,"IV"
3,"4000",5.55763261339814,"IV"
4,"4000",6.47924615481903,"IV"
5,"4000",4.25811338849381,"IV"
6,"4000",6.17194320654765,"IV"
7,"4000",4.50293509095644,"IV"
8,"4000",4.976629737215,"IV"
9,"4000",4.79378967608764,"IV"
10,"4000",6.59631016834037,"IV"
11,"4000",4.89508933013106,"IV"
12,"4000",5.91602407509517,"IV"
13,"4000",7.20766313645597,"IV"
14,"4000",4.7990580961338,"IV"
15,"4000",5.18863619800734,"IV"
16,"4000",4.63957461688981,"IV"
17,"4000",5.40045942275998,"IV"
18,"4000",5.90031060168837,"IV"
19,"4000",4.9407750496037,"IV"
20,"4000",4.92972451985191,"IV"
21,"4000",4.29514168883727,"IV"
22,"4000",4.53748899050328,"IV"
23,"4000",7.63934516055026,"IV"
24,"4000",4.60966981692617,"IV"
25,"4000",5.69034005448656,"IV"
26,"4000",4.66205582332429,"IV"
27,"4000",8.11485662780707,"IV"
28,"4000",4.0459050119224,"IV"
29,"4000",5.94464891904907,"IV"
30,"4000",4.61784371606866,"IV"
1,"500",9.27052408361103,"Unadjusted"
2,"500",9.65573770491804,"Unadjusted"
3,"500",9.97534745201853,"Unadjusted"
4,"500",10.3385579937304,"Unadjusted"
